Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
2019-05-01 00:00:00,N.Y.C.,61761,20.32,1.69,-3.18
2019-05-01 01:00:00,N.Y.C.,61761,17.09,1.62,-0.06
2019-05-01 02:00:00,N.Y.C.,61761,14.89,1.37,-0.05
2019-05-01 03:00:00,N.Y.C.,61761,14.49,1.29,0.0
2019-05-01 04:00:00,N.Y.C.,61761,14.49,1.27,0.0
2019-05-01 05:00:00,N.Y.C.,61761,16.88,1.48,0.0
2019-05-01 06:00:00,N.Y.C.,61761,24.32,2.0,-3.45
2019-05-01 07:00:00,N.Y.C.,61761,27.71,2.17,-6.69
2019-05-01 08:00:00,N.Y.C.,61761,27.17,2.65,-4.31
2019-05-01 09:00:00,N.Y.C.,61761,27.71,2.64,-4.72
2019-05-01 10:00:00,N.Y.C.,61761,27.48,2.83,-3.35
2019-05-01 11:00:00,N.Y.C.,61761,27.34,2.76,-3.71
2019-05-01 12:00:00,N.Y.C.,61761,26.34,2.78,-3.4
2019-05-01 13:00:00,N.Y.C.,61761,25.47,2.69,-3.8
2019-05-01 14:00:00,N.Y.C.,61761,25.19,2.66,-3.63
2019-05-01 15:00:00,N.Y.C.,61761,26.75,2.56,-5.78
2019-05-01 16:00:00,N.Y.C.,61761,28.19,2.62,-7.26
2019-05-01 17:00:00,N.Y.C.,61761,30.65,2.53,-9.21
2019-05-01 18:00:00,N.Y.C.,61761,29.66,2.58,-8.09
2019-05-01 19:00:00,N.Y.C.,61761,30.56,2.52,-9.09
2019-05-01 20:00:00,N.Y.C.,61761,31.54,2.63,-9.25
2019-05-01 21:00:00,N.Y.C.,61761,27.67,2.3,-7.83
2019-05-01 22:00:00,N.Y.C.,61761,20.91,1.81,-3.64
2019-05-01 23:00:00,N.Y.C.,61761,20.23,1.72,-3.39
2019-05-02 00:00:00,N.Y.C.,61761,20.82,1.54,-5.32
2019-05-02 01:00:00,N.Y.C.,61761,17.76,1.32,-3.98
2019-05-02 02:00:00,N.Y.C.,61761,15.45,1.28,-1.76
2019-05-02 03:00:00,N.Y.C.,61761,15.22,1.27,-1.49
2019-05-02 04:00:00,N.Y.C.,61761,14.47,1.33,0.0
2019-05-02 05:00:00,N.Y.C.,61761,16.97,1.54,0.0
2019-05-02 06:00:00,N.Y.C.,61761,21.07,2.14,0.0
2019-05-02 07:00:00,N.Y.C.,61761,28.77,2.47,-6.22
2019-05-02 08:00:00,N.Y.C.,61761,29.36,2.86,-5.61
2019-05-02 09:00:00,N.Y.C.,61761,31.54,2.78,-8.13
